"","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","maxIndex","minIndex","meanIndex","changeIndex","progrsIndex","catIndex"
"Mexico",55.9,53.3,53.3,53.3,52.1,52.4,52.4,52.4,53.2,53.2,51.2,51.2,52.8,52.8,52.8,52.4,52.4,52.4,52.4,52.4,44.7,44.7,45.1,45.1,45.1,43.2,38.2,37.2,37.2,38.2,55.9,37.2,48.940625,18.7,6.959375,"Partially Free"
"Moldova",54.1,56.3,60.5,54.7,60.6,63.6,63.6,58.5,58.5,58.5,51.1,54.1,55.3,54.1,55.3,55.3,55.3,55.3,55.3,53,53,53.8,53.8,53.8,52.6,56.2,63.3,63.3,64.3,64.3,64.3,51.1,57.0875,13.2,-2.9875,"Partially Free"
"Mongolia",54.6,55.2,53.6,51,50.8,52.1,52.1,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,55.1,55.1,56.3,56.3,56.3,56.3,53.6,53.6,47.5,48,49.4,46.8,56.3,46.8,52.875,9.5,1.725,"Partially Free"
"Morocco",52.5,51.7,56,48.3,46.3,46.3,46.3,47.1,47.4,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,47.1,47.1,47.1,52.9,52.9,52.9,52.9,52.6,52.6,50.1,50.1,47.5,47.5,56,46.3,49.071875,9.7,3.428125,"Partially Free"
"Mozambique",45.3,48.8,48.8,48.8,49.5,48.8,48.8,50.6,50.6,50.6,49.9,49.9,49.9,49.9,50.9,51.5,50.6,49.8,50.6,50.6,46.3,46.3,46.3,46.3,46,46,45.8,47,47,43,51.5,43,48.396875,8.5,-3.096875,"Partially Free"
"Myanmar",45,48,46.4,46.4,38.9,34.5,34.5,31.6,29.4,22.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15.2,15.2,15.2,15.2,14.6,14.6,16.1,48,14.6,23.153125,33.4,21.846875,"Partially Free"
"Namibia",56.5,66,66.7,71.4,72.9,72.9,72.9,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,65.6,68.7,66,68.7,68.7,68.7,68.7,68.7,68.7,68.4,68.4,68.4,68,67.6,67.6,72.9,56.5,68.25,16.4,-11.75,"Free"
"Nepal",56.8,59.1,59.1,58.2,59.1,53.1,54,59.8,59.8,57.4,58.3,58.3,60.2,55.2,55.2,58.2,58.2,58.2,60.2,61.3,60,60,60,60,58.9,60,60,61.8,60,50.4,61.8,50.4,58.21875,11.4,-1.41875,"Partially Free"
"Netherlands",86.6,83.8,83.8,83.8,83.8,81.7,81.7,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,86.6,79.5,80.61875,7.09999999999999,5.98124999999999,"Free"
"New Zealand",85.9,85.9,85.9,87.4,87.4,87.4,87.4,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,83.6,84.1,84.1,84.1,84.1,84.1,84.1,87.4,83.6,84.628125,3.80000000000001,1.27187500000001,"Free"
"Nicaragua",3.06,8.95,11.9,14.5,14.5,14.5,14.5,17.5,17.5,17.5,17.8,17.8,22.7,27.6,37.1,37.1,37.1,37.1,37.1,37.4,36.8,36.8,36.8,38.8,39.4,39,40.7,40.2,38.6,40.2,40.7,3.06,27.3209375,37.64,-24.2609375,"Not Free"
"Niger",45.3,45.7,47.5,46.8,48.1,48.1,48.1,42.6,41.8,46.5,44.5,45.8,45.8,43.9,43.9,45.2,45.2,45.2,45.2,45.2,55.2,54.6,54.6,56.5,58.7,58.7,58.7,56.4,56.4,59.4,59.4,41.8,49.4,17.6,-4.1,"Partially Free"
"Nigeria",46.3,47.1,47.1,47.1,50.5,48.1,48.1,44.6,44.6,44.6,45.5,45.5,45.5,42.8,42.5,44.5,44.5,44.5,42.8,43.4,43.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,38.3,36.6,50.5,36.6,43.025,13.9,3.275,"Partially Free"
"North Korea",3.47,3.47,3.47,3.47,3.47,3.47,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.47,3.06,1.93,5.79,5.79,5.79,5.79,1.93,3.7578125,3.86,-0.2878125,"Not Free"
"North Macedonia",43.1,40.2,43.6,22.8,23.8,23.8,29.5,37.5,39.9,39.9,42.7,46.4,46.4,46.8,49.8,53.7,53.7,53.7,53.7,56.6,60.2,60.2,60.2,60.2,60.2,60.2,60.2,59.3,59.3,59.3,60.2,22.8,47.809375,37.4,-4.709375,"Partially Free"
"Norway",92.8,90.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90.9,99.20625,9.09999999999999,-6.40625,"Free"
"Oman",35.1,37.5,36.6,37.5,38.9,38.9,38.9,38.9,38.9,39.8,39.8,38.9,38.9,38.9,37.5,38.9,38.9,37.3,36,37.3,29.7,28.1,29.7,29.7,27.4,27.2,27.2,27.2,27.2,27.2,39.8,27.2,34.71875,12.6,0.381250000000001,"Not Free"
"Pakistan",41.3,44.4,47.5,46.3,47.5,51,49.7,47.4,47.4,47.4,47.4,45.5,41,40.9,40.9,39.6,39.6,39.6,39.6,39.6,40.2,37.7,39.2,40.9,40.9,40.4,41.3,39.4,39.4,39.4,51,37.7,42.846875,13.3,-1.546875,"Partially Free"
"Panama",48.5,45.7,45.7,42.3,43.5,43.5,43.5,46.2,46.2,45.1,45.1,46.2,46.2,45.1,45.7,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.5,47.5,47.5,51.3,51.3,42.3,46.546875,9,1.953125,"Partially Free"
"Papua New Guinea",63.9,63.4,63.4,63.4,63.4,63.1,63.3,63.3,63.3,64.8,65,65,65,65,65,65,65,65,65,65,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,63.1,64.584375,2.2,-0.684374999999996,"Partially Free"
"Paraguay",48.3,49.4,48.7,49.2,47.6,47.6,47.6,55.6,55.6,55.6,55.6,55.6,51.5,48.3,47.6,47.6,47.6,47.6,48,48,48,49.4,50.8,50.8,49.4,48.1,49.4,54.9,32,32,55.6,32,48.59375,23.6,-0.293750000000003,"Partially Free"
"Peru",61.5,60.7,60.7,59.7,59.7,59.7,59.7,57.7,56.3,56.3,54.1,54.1,54.1,56.9,60.1,62.9,60.6,60.6,60.6,27.2,20.4,20.4,20.8,20.8,20.4,18.1,17.5,31,42.2,43.2,62.9,17.5,46.2,45.4,15.3,"Partially Free"
"Philippines",44.3,45.5,47.9,51.3,56.1,55.5,55.5,59,59,58.2,49.6,49.6,50.6,49.6,50.6,51.1,51.1,51.1,51.9,52.1,52.4,51.9,51.9,51.9,51.9,51.9,51.6,57.5,57.3,56.1,59,44.3,52.415625,14.7,-8.115625,"Partially Free"
"Poland",50.8,55.9,59,64,81.9,84.3,84.3,84.3,84.3,81.5,84.1,83.3,83.8,83.8,85.4,85.4,85.4,85.4,85.4,85.4,85.4,85.8,85.8,85.8,85.8,86.3,84.7,85.8,85.4,83.7,86.3,50.8,80.290625,35.5,-29.490625,"Free"
"Portugal",88.9,88.9,88.9,78.6,81.8,81.8,81.8,81.8,79.9,76.8,75.9,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.5,78.5,78.1,78.1,78.1,78.1,78.1,88.9,75.9,79.83125,13,9.06875000000001,"Free"
"Qatar",38.2,40.7,39.9,42.8,44.7,44.7,44.7,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.8,47.8,47.8,46.4,46.6,46.6,46.6,46.6,46.6,46.6,44.7,44.5,44,44,44,44,47.8,38.2,45.209375,9.59999999999999,-7.009375,"Partially Free"
"Romania",44.9,44.6,55,68.7,75,74.8,68.7,56.2,58.1,58.1,58.1,58.1,58.1,51.9,51.9,48,45.7,45,44.3,44.3,43.5,43.8,43.8,43.8,42.6,42.6,42.4,43.2,38.7,34.3,75,34.3,51.171875,40.7,-6.271875,"Free"
"Russia",22.7,22.7,22.7,19.7,22.1,19.7,19.7,23,23.4,23.4,24.6,24.6,26.7,26.7,26.7,26.7,26.7,26.3,26.3,32.4,38.1,38.1,38.9,39.7,38.3,38.3,40.9,40.9,32.7,17.3,40.9,17.3,28.38125,23.6,-5.68125,"Not Free"
"Rwanda",33.1,33.5,33.1,37.6,37.6,37.6,37.6,36.4,36.4,36.4,36,36,36,34.5,36,36,36,35.2,35.2,35.2,36.4,34.6,34.6,34.6,34.6,42.6,55.6,56.8,56.8,55.4,56.8,33.1,38.978125,23.7,-5.878125,"Partially Free"
"Saudi Arabia",27.6,25.3,25.3,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,24.2,24.5,22.8,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.3,24,25.1,27.6,22.8,25.1875,4.8,2.4125,"Not Free"
"Senegal",49.3,50.3,50,51,52.7,52.7,52.7,47.1,47.8,47.8,47.8,48.9,48.9,47.8,48.9,48.9,48.9,48.9,48.9,47,47,47,47,47,46.6,46.6,46.6,47.8,47.8,46.6,52.7,46.6,48.6125,6.1,0.6875,"Partially Free"
"Serbia",41.6,43.9,40.4,39.9,42.3,43.1,43.1,46.6,46.6,45.5,47.5,47.5,48.6,46.3,46.3,47.5,47.5,47.5,47.2,44.5,37.2,37.5,37.7,37.7,37.5,36.9,36.6,36.6,37.9,36.8,48.6,36.6,42.53125,12,-0.931249999999999,"Partially Free"
"Sierra Leone",37.9,34.3,35,33,35.8,35.8,35.8,39.4,39.4,39.4,39.4,39.4,43.2,43.2,43.2,46.9,46.9,46.9,36.9,36.2,35.2,34.7,28.4,37.4,28.5,28.5,28.5,28.5,29.3,37.3,46.9,28.4,36.8625,18.5,1.0375,"Partially Free"
"Singapore",47.2,48.9,49,47,47,47,47,47,47,43.8,43.8,43.8,43.8,47,50.3,46.9,46.9,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,43.8,46.9,46.9,46.9,46.9,50.3,43.8,46.815625,6.5,0.384375000000006,"Partially Free"
"Slovak Republic",62.9,62.9,63.7,61.2,61.2,62.6,62.6,62.6,63.2,63.2,63.2,64,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.6,65.6,55.6,55.6,55.9,55.9,60.2,60.2,60.2,60.2,65.6,55.6,62.221875,9.99999999999999,0.678124999999994,"Partially Free"
"Slovenia",72.1,72.1,73.5,75.6,75.6,73.9,70.1,69.8,71.7,70.6,70.3,66,67.7,67.7,67.7,71.9,71.9,70.1,70.6,70.6,72.8,72.5,73,73,73,73,73,73,65,65,75.6,65,71.04375,10.6,1.05624999999999,"Free"
"Somalia",30.6,34.2,37.4,30.2,39.5,39.5,46,28.5,26,26,26,26,26,26,26,25.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,21.6,21.6,21.5,21.5,29.1,25.4,46,21.5,27.45,24.5,3.15,"Partially Free"
"South Africa",68,70.2,68.6,60.3,60.3,63.7,66.1,67.6,67.6,66.2,64.3,64.3,64.3,63.7,63.7,63.7,63.5,63.5,63.7,63.7,63.7,63.7,63.9,64.3,64.3,51,40.2,39.4,40,39.2,70.2,39.2,60.503125,31,7.496875,"Free"
"South Korea",74,70.2,73.1,61.6,62.5,57.4,56.2,61,62.3,62.3,64.4,64.4,70.2,71.2,71.2,71.2,70.8,71.9,68.2,68.2,68.2,68.2,67,65.2,65.2,65.2,65.2,62.1,60.9,60.9,74,56.2,65.95625,17.8,8.04375,"Free"
"South Sudan",30.1,17.8,29.9,29.3,28.9,29.7,30.8,33.5,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,17.8,32.75625,17,-2.65625,"Not Free"
"Spain",83.6,88.9,81.7,81.7,79.9,84.7,84.7,81.5,84.7,86,88.1,85.9,85.9,85.9,85.9,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.9,86.4,86.4,86.4,86.4,86.4,85.5,85.5,88.9,79.9,85.165625,9,-1.56562500000001,"Free"
"Sri Lanka",68.4,68.4,66.3,70.6,62.2,48.5,48,46.5,46.5,46.5,52.4,52.4,53.5,53.5,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.4,55.1,55.1,55.5,55.3,55.3,55.3,70.6,46.5,55.740625,24.1,12.659375,"Free"
"Sudan",35.4,28.9,28.2,23,21.9,21.9,21.9,17.7,17.7,25.7,25.7,27.9,27.9,27.2,27.2,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.8,7.35,7.35,35.4,7.35,16.9528125,28.05,18.4471875,"Not Free"
"Sweden",86.8,86.8,87.6,90.9,90.9,100,100,100,92.7,92.7,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,84,84,84,84,84,84,84,84,84,84,100,84,88.04375,16,-1.24375000000001,"Free"
"Switzerland",98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,98,98.75,2,-0.75,"Free"
"Syria",25.2,20.6,22.3,19.4,20.2,20.2,20.2,19.3,23.7,23.9,23.9,23.9,23.9,23.9,25.7,23.6,23.6,23.6,23.6,23.6,15.4,15.4,15.4,15.4,15.3,15.3,15.3,15,14.5,14.5,25.7,14.5,20.1875,11.2,5.0125,"Not Free"
"Taiwan",63.5,62.4,63,63.4,58.6,58.6,58.6,55.4,53.5,53.5,54.8,61.1,61.1,61.1,62.5,60.7,60.7,60.7,60.7,60.7,47,47,47,47.3,47.3,47.3,47.3,48.4,48.4,45.3,63.5,45.3,55.490625,18.2,8.009375,"Partially Free"
"Tajikistan",23.8,28.7,17.9,19.5,17.9,17.9,17.9,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,21.7,21.7,21.7,21.7,23.2,27.6,27.6,27.9,32,32,32,17.9,23.953125,14.1,-0.153124999999999,"Not Free"
"Tanzania",55.2,47.8,55.8,56.8,57.8,50,50,51.5,51.5,51.5,51.5,51.5,51.5,51.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.2,52.2,53.8,53.8,53.8,53.8,57.8,47.8,52.628125,10,2.57187500000001,"Partially Free"
"Thailand",49.9,49.9,48.5,49.2,49,52.9,61.3,61.3,58.6,54.9,58.7,59.7,58.6,55.7,54.4,54.4,54.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,56.3,56.3,55,61.3,48.5,55.0875,12.8,-5.1875,"Partially Free"
"Timor-Leste",48.8,48.8,49.2,51.6,50.1,53.8,55,55,55,56.1,56.1,56.1,57.2,57.2,58.6,58.6,58.6,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,48.8,57.625,13.3,-8.825,"Partially Free"
"Togo",24.3,31.1,29.2,31.6,31.6,31.6,31.6,32.7,32.7,32.7,32.7,31.6,31.6,31.6,31.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,27.5,27.5,27.5,27.1,30.1,27.2,27.2,17.7,32.7,17.7,29.08125,15,-4.78125,"Not Free"
"Trinidad and Tobago",60.1,58.3,58.3,58.3,60.7,60.7,60.7,61.9,61.9,61.9,61.9,61.9,61.9,60.2,61.9,61.9,61.9,62.2,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,58.3,61.521875,4.3,-1.421875,"Partially Free"
"Tunisia",73,73,68.3,66.9,68.4,63.5,63.9,60.4,60,36,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29.8,29.8,29.8,31.5,30.6,28.9,73,28.9,41.740625,44.1,31.259375,"Free"
"Turkey",34,34,26.9,43.8,51,51.6,55.1,59,58.2,59.1,69.6,67.8,67.8,68.3,68.3,65.7,65.7,66.7,61.4,60.6,60.6,61,64.3,57.9,56.4,56.4,56.4,56.4,57.5,57.5,69.6,26.9,56.734375,42.7,-22.734375,"Partially Free"
"Turkmenistan",27.9,24.2,14.1,13.6,13.6,13.6,13.6,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,11.8,9.63,9.63,27.9,9.1,11.583125,18.8,16.316875,"Not Free"
"Uganda",47.2,49.6,49.8,48.9,50.3,49.3,48.7,49.3,49.9,48.6,48.6,49.9,49.9,49.7,48.7,45.8,45.8,45.8,45.8,44.6,44.2,44.2,44.2,44.2,43.5,41.2,40.7,39.7,39.7,37.6,50.3,37.6,46.040625,12.7,1.159375,"Partially Free"
"Ukraine",39.3,35.1,33.8,32.2,31.5,30.3,33.9,32.1,32.1,32.1,37.9,37.9,39.4,38.8,37.2,44.9,40.1,40.8,39.5,37.7,40.8,40.8,41.3,38.3,38.6,38.6,37.3,38.6,41.1,41.1,44.9,30.3,37.446875,14.6,1.853125,"Not Free"
"United Arab Emirates",26.7,26.7,25,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,26.2,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24,24,24,24,19.3,19.3,18.9,18.5,26.7,18.5,23.6125,8.2,3.0875,"Not Free"
"United Kingdom",69.7,68.5,73.1,70.2,70.2,70.2,70.2,71.7,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,69.1,70.6,70.2,70.2,73.1,68.5,70.409375,4.59999999999999,-0.709374999999994,"Free"
"United States",80.5,82.8,79.3,80.9,81.2,81.2,81.2,77.1,77.1,77.1,78.5,80.5,80,79,79,77.1,77.1,77.1,77.5,77.5,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,82.8,75.8,78.071875,7,2.42812500000001,"Free"
"Uruguay",72.7,72.7,70.1,70.3,70.3,70.3,70.3,70.1,68.7,70.1,71.4,71.4,72.9,72.9,71.6,68.4,61.8,69.3,69.3,64.9,67.6,67.6,64.9,67.6,67.6,67.6,67.6,67.6,67.6,67.6,72.9,61.8,68.984375,11.1,3.715625,"Free"
"Uzbekistan",24.2,14.6,5.65,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,5.65,1.52,1.52,1.52,5.65,5.65,5.65,5.65,5.65,5.65,10.4,10.4,10.4,10.4,10.4,10.4,10.4,14.6,14.6,24.2,1.52,7.13875,22.68,17.06125,"Not Free"
"Venezuela",0,0,11.5,7.35,7.35,7.35,10.5,16.5,16.5,16.5,14.7,14.7,15.2,15.2,19.3,29.4,38.4,39.8,40.2,40.5,46.8,48.4,52.1,52.1,52.1,50.4,56.9,57.8,57.8,51.8,57.8,0,29.5296875,57.8,-29.5296875,"Partially Free"
"Vietnam",21.1,23.3,32.9,31.5,31.5,31.5,31.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,19,19,19,19,19.2,21,21,21,21,21,20.9,20.6,20.1,20.6,20.6,32.9,19,24.81875,13.9,-3.71875,"Not Free"
"Yemen",27.1,22.2,22.2,24.3,26.5,29.6,33.2,32.9,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.7,33,33,32.7,32.3,32.3,33.7,34,29.9,34,22.2,30.865625,11.8,-3.765625,"Not Free"
"Zambia",47.3,47,46,51.4,54,55.8,55.8,57.3,57.3,57.8,58.7,58.7,58.7,58.7,58.7,56.6,57.8,57.8,54.5,54.5,54.5,54.5,54.5,54.5,54.2,54.2,54.2,54.2,53.8,45.7,58.7,45.7,54.471875,13,-7.171875,"Partially Free"
"Zimbabwe",41.2,42.7,46.7,44.8,47.5,47.5,45.9,46.3,46.3,46.3,42.2,38.9,38.9,38.9,38.9,38.2,38.1,42.6,45.1,46.2,57.8,57.8,57.8,59.3,59.3,59.3,59,59,58.7,58.7,59.3,38.1,48.353125,21.2,-7.153125,"Partially Free"
