"","maxIndexCL","minIndexCL","change","progrs","meanIndexCL","cat","maxIndexJL","minIndexJL","meanIndexJL","changeIndCL","progrsIndCL","catIndCL","meanFreedom","changeFreedom"
"Somalia",45.6,21.9,23.7,-1.94705882352941,36.5470588235294,"Partially Free",46,21.5,27.45,24.5,3.15,"Partially Free",31.9985294117647,18.9514705882353
"South Africa",76,37.7,38.3,-0.14411764705882,63.1441176470588,"Free",70.2,39.2,60.503125,31,7.496875,"Free",61.8236213235294,-6.0236213235294
"South Korea",77.3,61.1,16.2,10.2970588235294,65.3029411764706,"Free",74,56.2,65.95625,17.8,8.04375,"Free",65.6295955882353,-33.0295955882353
"South Sudan",42.5,20.1,22.4,-9.51764705882353,35.9176470588235,"Partially Free",34.8,17.8,32.75625,17,-2.65625,"Not Free",34.3369485294117,14.8630514705883
"Spain",91.8,76.7,15.1,-1.11764705882354,82.1176470588235,"Free",88.9,79.9,85.165625,9,-1.56562500000001,"Free",83.6416360294118,-55.3916360294118
"Sri Lanka",64.1,39.9,24.2,11.7941176470588,47.2058823529412,"Partially Free",70.6,46.5,55.740625,24.1,12.659375,"Free",51.4732536764706,17.0767463235294
"Sudan",39.7,19.7,20,14.8823529411765,24.8176470588235,"Not Free",35.4,7.35,16.9528125,28.05,18.4471875,"Not Free",20.8852297794118,52.3147702205882
"Sweden",89.5,83.1,6.40000000000001,1.82941176470588,82.7705882352941,"Free",100,84,88.04375,16,-1.24375000000001,"Free",85.407169117647,0.292830882352945
"Switzerland",88,82.4,5.59999999999999,1.05882352941177,81.3411764705882,"Free",100,98,98.75,2,-0.75,"Free",90.0455882352941,-52.8955882352941
"Syria",23.3,9.58,13.72,-3.21411764705882,16.2141176470588,"Not Free",25.7,14.5,20.1875,11.2,5.0125,"Not Free",18.2008088235294,0.899191176470602
"Taiwan",80,54.2,25.8,8.52058823529411,67.9794117647059,"Free",63.5,45.3,55.490625,18.2,8.009375,"Partially Free",61.7350183823529,-28.5350183823529
"Tajikistan",51.9,22.2,29.7,-6.96470588235294,34.4647058823529,"Partially Free",32,17.9,23.953125,14.1,-0.153124999999999,"Not Free",29.2089154411765,8.69108455882355
"Tanzania",61.5,49.9,11.6,-4.26764705882353,54.8676470588235,"Partially Free",57.8,47.8,52.628125,10,2.57187500000001,"Partially Free",53.7478860294117,-8.64788602941175
"Thailand",59.1,32.4,26.7,-6.33823529411765,46.6382352941176,"Partially Free",61.3,48.5,55.0875,12.8,-5.1875,"Partially Free",50.8628676470588,-25.2128676470588
"Timor-Leste",69.5,62.1,7.4,5.85,63.45,"Partially Free",62.1,48.8,57.625,13.3,-8.825,"Partially Free",60.5375,-37.1875
"Togo",60.8,35,25.8,4.00294117647059,47.4970588235294,"Partially Free",32.7,17.7,29.08125,15,-4.78125,"Not Free",38.2891544117647,20.7608455882353
"Trinidad and Tobago",74.7,69.7,5,4.00294117647059,68.9970588235294,"Partially Free",62.6,58.3,61.521875,4.3,-1.421875,"Partially Free",65.2594669117647,1.29053308823529
"Tunisia",64.3,30.9,33.4,21.5617647058824,41.4382352941176,"Partially Free",73,28.9,41.740625,44.1,31.259375,"Free",41.5894301470588,26.4105698529412
"Turkey",57.2,27.8,29.4,-14.3058823529412,42.9058823529412,"Partially Free",69.6,26.9,56.734375,42.7,-22.734375,"Partially Free",49.8201286764706,-18.5201286764706
"Turkmenistan",31.7,14.1,17.6,0.261764705882353,18.5382352941176,"Not Free",27.9,9.1,11.583125,18.8,16.316875,"Not Free",15.0606801470588,54.9393198529412
