country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,98.4,98.4,98.4,98.4,98.4,98.4,98.5,98.5,98.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.7,92.7,92.7
Dominican Republic,28.8,28.8,28.8,44.8,50.1,50.1,50,50,45.2,45,46.6,46.6,44.3,46,44.3,44.3,44.3,44.3,42.3,35.5,35.5,35.2,38.6,40,40,39,38.7,38.3,38.3,36.5,37.4,36.5,36.5,34.9,34.9,34,34,35.7,35.7,33.2,31.8,34,33.2,33.2,42.5
Algeria,31.5,31.5,31.5,31.5,31.5,31.5,32.7,33.8,33.8,32.3,33.3,33.3,32.3,34.1,34.1,33,32.4,32.4,33,33.6,33.6,33.6,33.6,33,28.1,28.1,28.1,28.1,28.1,28.1,27,27,27,28.6,28.6,28.6,28.6,29.3,28.5,28.5,28.5,26.2,28.8,27.2,25.3
Ecuador,29.9,29.9,29.9,29.9,36.8,40,40.5,41.6,40.5,40.8,38.4,38.4,38.4,38.4,40.8,40.8,39.3,39.3,38.4,38.4,38.4,38.4,40.8,40.4,40.4,38.1,38.1,38.1,38.9,38.9,39.2,38.9,41.1,33.9,33,31.8,30.5,30.5,29.4,29.4,29.4,29.4,36.3,45.9,45.9
Egypt,44.1,44.1,44.1,44.1,44.1,45.5,45.7,48.8,48.8,45.9,48.5,46.4,46.4,45.9,45.9,45.9,45.9,45,45,45.5,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,45.1,44.6,44.6,44.6,44.6,46.3,46.4,43.3,41.7,43.5,44.9,46.1,46.1,45.5
Eritrea,,,,,,,,,,,,,,,,,,,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,13.4,5.65,5.65,5.65,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,11.9,11.9,11.9,1.52,10.6,1.52,8.25
Spain,32.1,32.1,32.3,85.7,85.7,85.7,85.9,85.9,85.9,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,86.4,86.4,86.4,86.4,86.4,85.9,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.9,85.9,85.9,85.9,88.1,86,84.7,81.5,84.7,84.7,79.9,81.7,81.7,88.9,83.6
Estonia,,,,,,,,,,,,,,,,,75.4,77.8,78.3,78.3,78.3,76.6,76.6,76.6,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,77.7,77.7,77.7,74.4,74.4,74.4,74.4,74.4,74.4,74.4
Ethiopia,21.3,21.3,21.3,21.3,21.3,21.3,20.9,20.9,20.9,20.9,21.2,21.2,23.5,23.5,22.9,22.9,27.1,32.5,32.2,34.3,34.7,35,35,35,35,35,35,35,35,35,35,35,34.7,33.1,33.1,33.1,34.7,34.7,35.5,35.5,35.5,33.6,31.6,31.3,34.2
Finland,70,70,70,70,70,70,71.4,71.4,71.4,72.3,72.3,74.8,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,80.4,80.4,81.6,81.6,79.5,78.5,78.5
